"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-28","6.93",",,W","0.16",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","52","H,,S","57",",,W","47",",,W","  200",",,W","  200",",,W","18.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-29","10.74",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","47","H,,S","48",",,W","41",",,W","   60",",,W","   70",",,W","21.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-30","16.78",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","37","H,,S","41",",,W","24",",,W","  310",",,W","  320",",,W","31.1",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-31","10.74",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","27","H,,S","41",",,W","21",",,W","  200",",,W","  330",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-01","10.29",",,W","0.02",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","54",",,W","40",",,W","  340",",,W","  320",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-02","15.21",",,W","0.04",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","43",",,W","19",",,W","  290",",,W","  290",",,W","30.0",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-03","10.51",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","24","H,,S","36",",,W","17",",,W","  220",",,W","  230",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-04","7.83",",,W","1.12",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","34","H,,S","37",",,W","33",",,W","  190",",,W","  180",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-05","9.84",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","39",",,W","27",",,W","  320",",,W","  320",",,W","28.0",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-06","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","33","H,,S","43",",,W","28",",,W","  340",",,W","  330",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
